,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,label
24 liver,117.28927185340086,39.319657007394724,-3.098526612252898,1.9118122364290129,0.7293916329796144,0.4467030896184487,0.5727154667271087,1.2938005667650014,0.39591074669759063,0.7375232956967841,0.7290841653401547,0.9967985607093067,0.964768992847424,-0.09493958578264612,0.4976690040587692,0.4551279988479176,10.816359412416723,0.16793770463095664,3.204399443929262,0.688895065165534,0.33284162169567233,21.632718824833447,2.409530685347001,0.6603009673521567,300348.3958424191,0.3044578503910678,0.9610214898158245,116.24248648056339,6.73153384070215,796.2079526192381,0.05784208044901992,0.008960772146253472,3.7897796944496758,384722.87675116374,0.38457454599522667,0.515152388940439,2.8147968407311583,0.6353706090526086,73.344995197462,0.00579357942800469,1
24 other organ,776.1588135887954,3404198.143284756,26513.423108887448,1563.084961141535,9.350237821333867,0.9881077699688235,1.227270877948961,1.9825742867888996,7.7819833652423975,0.7101859589577958,0.6903864336043365,0.9989274046987625,0.9876210974053871,-0.531690379404319,0.9948400026862737,0.3429040332210684,19.69072334792455,0.04435349994211609,6.398099220720517,0.9918298551228304,0.12875119547452513,39.381446695849114,5.212894000585125,393.1087997407172,721039.4086842241,0.04806849492821481,389.4007805819943,1003.7570184089111,12.808122846926864,4369.053284893457,2.3338531734204144,0.12739083691506128,6.6643604157676,6780236.091120697,0.44908528418506866,0.4929285953624371,8.562507227876509,0.695336099090625,759.3061480549811,0.06775769100365175,0
25 liver,127.36179966616598,776.7211940599568,6.833875187936345,2.7240121778787483,0.9180922968258621,0.49472130164140693,0.6527947302059993,1.3904580386416006,0.485498973181763,0.7094954389938481,0.697248549448376,0.9998025635013216,0.9905921750695506,-0.10352431861972008,0.5466943197322761,0.479309071003465,11.265446475399706,0.131229522457887,3.550614741588424,0.7484410470035219,0.25296294395946456,22.530892950799476,2.6191522223098165,0.9105261186761513,614069.0398430817,0.2832112609847154,1.2896076896981012,127.10800202982233,5.166743860511857,657.0711692258147,0.041563281481393544,0.008247190297965785,3.8166120318152754,890520.3649594833,0.4067586725495686,0.5565805684648792,1.8629569543686004,0.6544383379941725,82.8591829135124,0.005478273430349385,1
25 other organ,972.0945583016206,2527458.916661463,-8902.906698502844,1401.54099173936,6.7241863936320545,0.9904490059824325,1.2152835170399798,2.024371415855944,5.183662235023117,0.6682758569446042,0.6448373721965914,0.9993499679102624,0.9885657973690674,-0.5261421289203144,0.9962977711251002,0.40593750916650256,24.967773512744845,0.019913290520678747,6.971852048079675,0.9930567241410593,0.06354570590488905,49.93554702548967,5.646350928281724,352.0662945332475,1374542.033315138,0.041756703501599955,323.02548899600686,1088.7488995232052,5.67844570739906,4287.801242416514,1.0612206190628628,0.08441517052093807,6.600675790110544,15253277.226497008,0.4594983952411568,0.5698557674920688,2.519852611306929,0.7025223583827122,807.3171903799192,0.04069500178579945,0
26 liver,152.4415286000371,243.77920594059336,-1.3816898627867629,5.44575101421214,2.0100511583871925,0.46025805287126986,1.0479462485046913,1.8326432733373903,0.8996162057697206,0.6022874364535101,0.5672290098813354,0.9959111010384931,0.9561082218688904,-0.07525707217104256,0.5335244517436439,0.4932288002565954,12.31188277069653,0.06342068635822198,4.6583202485585335,0.6280572328338879,0.12881894612520708,24.62376554139305,3.144170982481763,1.863950543149833,294203.7663014386,0.20779613537017766,2.3081793144439406,152.4001036932628,2.7428891540519773,418.2627642113484,0.01885372487590827,0.007070718289717746,3.795103059517877,793836.0689608438,0.5587032871870531,0.7032314094088761,0.7051762060187066,0.7747767872056281,117.9604822058953,0.005538375934016109,1
26 other organ,729.5566424477945,3065997.8681371333,22167.566162144598,1486.1515172488118,10.316208976099619,0.9862137465043149,1.3139501384344503,2.1079788169147244,8.511291063323092,0.7115154048163058,0.6841513009927324,0.998865974080262,0.9870383810716816,-0.5157371698166144,0.9924056337488416,0.2707888451007627,18.989397446885228,0.12437899796332784,6.100045965641945,0.9900176182990993,0.345512346283401,37.978794893770434,4.789126234157113,374.11693155622856,482423.87538915285,0.03705244742044074,301.17745599204176,1171.516558760217,70.5141623491877,2937.891813843344,67.57454136161209,0.05683935623333,6.458816928183219,7405078.11882478,0.5663163168550471,0.46703247812489046,65.8667187826493,0.7796655959517674,957.1120756923285,0.0236855867409305,0
27 liver,153.36781081895123,131.51410725164735,-5.045527806288314,3.19341403365969,0.8730274778129401,0.5703871371154778,0.6470926047157922,1.3796271961677307,0.4465611218677537,0.7107641992164472,0.698780772885187,0.9976030074983888,0.9681737304080446,-0.1367616727413436,0.6282871851706389,0.47913525738066504,12.360732277816568,0.11892610039950414,3.68165775468921,0.8443379166918905,0.22341447331692801,24.721464555633137,2.7596925152903067,1.0166103778681574,554853.128254672,0.26979458079160124,1.3273668204011217,152.83038896121553,5.197755402593938,798.4628239631347,0.03469732673048509,0.0068619512920966835,3.91582973972338,839754.3474223401,0.4036186538437635,0.5549106291331364,1.8509159350028566,0.6509084815514925,99.06404804035358,0.004528191374744827,1
27 other organ,771.4409070869708,3388378.3407947463,24223.840054540215,1552.9849360643773,6.8538231778072625,0.9912128773192119,1.0840614688066865,1.870109745927753,5.621589140242141,0.7104661814666032,0.6927455995491947,0.9995145748969025,0.9912595097945409,-0.5458086039978114,0.9952780738360878,0.3750743343972826,19.61906626017427,0.044414421764996145,6.294955640451245,0.9942355141853392,0.1296908027760405,39.238132520348515,5.174582910436457,389.95968981054625,1778167.6732769804,0.05881622730639045,392.0457139311342,953.383018479407,8.20116912923562,4262.023650662141,2.3017866606429487,0.1725609899820116,6.626958382112978,12317073.980889093,0.40339842751251465,0.5044706666917972,4.1123499836708195,0.6560994733149221,705.1402679917967,0.0804101903678026,0
28 liver,399.99051256873497,162.53689501436645,-4.686136549936465,3.83798148639898,1.265933453632716,0.502260817643136,0.7885583992624299,1.5661235314460349,0.6358859853222921,0.6698227740266349,0.6502676287036427,0.9982801054891028,0.9724038015750247,-0.10145996264656555,0.5714867501750063,0.49481204966319836,19.983679161265236,0.10302495004120377,3.9958977215700084,0.6342774914268082,0.22500653745640656,39.96735832253049,2.850122747021066,1.2759787350079241,285699.2994834337,0.24982306626462497,1.7946221734527417,398.2344737904787,3.9999651572918316,1601.611546259173,0.010094287475235822,0.0025654830275210856,3.834854055599519,540944.1795517826,0.4699510800193263,0.6153316811848056,1.3191037720071936,0.7091630802986477,281.56541730692646,0.0018334309434354023,1
28 other organ,688.0300881697882,3276017.047028182,27584.52796494677,1485.3976603535948,9.68277563294712,0.9870488753412937,1.1433026203924408,1.8954576225622592,8.31440641724749,0.7573563333160176,0.7365780308006316,0.9990392397681531,0.9893127963803157,-0.5511111582866741,0.9921796832900461,0.24192738262941813,17.863400585072245,0.16138711918420393,5.520470089336853,0.9904527028358733,0.39400641435017725,35.726801170144434,4.435780361586696,373.77010899663594,396482.0880176551,0.03995097155900311,299.9274010731656,1204.5990079878384,107.36677143463069,3831.0487727697982,103.33835124187841,0.06153568818189019,6.530495935205152,5260273.456968048,0.5274193805924139,0.39852217377933036,100.95091031724444,0.7532082762023291,946.3082070790487,0.02560710609613376,0
29 liver,151.00195859288678,68.22845352806627,3.0837040078089566,3.0813412103357845,0.6820910088278598,0.6371757304672526,0.5458822398259128,1.2622737712097136,0.37850663446094335,0.7478725663538377,0.7405291927702417,0.9979119850067302,0.9716215610002528,-0.18789231525985656,0.7031357608974012,0.443476608676106,12.263854418716019,0.14823825101477775,3.4511969983952246,0.7607975297835126,0.29807002313487146,24.52770883743204,2.704954025884134,0.9408580547909112,335875.47783822624,0.2780674744125575,1.3070546902039912,150.74496560805844,7.040539465951396,1058.0774537764717,0.047681221373548244,0.006886567986277448,4.1159682684806915,434770.6286797449,0.35494132095528974,0.4961102721862656,2.817746612037116,0.6057687325465726,91.0121742862185,0.004225943284449253,1
29 other organ,681.9094743156328,3847807.794979962,39650.558529949405,1496.6716996936052,7.455718719903165,0.9900874961731786,1.090933891869444,1.8727970742521989,6.206033797917802,0.7323440223740653,0.7146729166862648,0.9991563831868391,0.9890329710314868,-0.5578110093427531,0.9958845550394197,0.32406242382053524,17.595600864147368,0.04817229184356347,6.290062117041805,0.9924977720271765,0.12322039688388312,35.19120172829471,5.197726984357246,376.0318546033778,1213598.5842816164,0.04926903660780887,385.8155681736407,872.2500667714908,16.132729388493217,5127.413184607824,3.8749236699469525,0.1482417749231218,6.863165855552233,10307805.985788304,0.4150361980269677,0.4571306118269773,11.14320525706871,0.667661501370592,636.4455102602985,0.0698084167956451,0
30 liver,558.5584938938777,203.7009011560561,-7.455922331789688,5.046246351658413,1.9327839003750276,0.44524636056066513,1.0254951922998066,1.7979323169423203,0.8590762138478089,0.6071161910328609,0.5732723772115456,0.9985961759186873,0.9736094225164742,-0.0768473009316318,0.5156938754994005,0.4949855661478303,23.61736824145591,0.06167324576251328,4.619145703812352,0.6289012309204769,0.1234258505822207,47.234736482911835,3.144606939408495,1.7447575630083603,415758.9904723611,0.2080175739924551,2.2182657432415627,556.6664868968854,2.8198749488549337,1577.5224853909895,0.005099674901666452,0.0018301572552563105,3.7980451565095104,1096830.3956074321,0.5450393846853664,0.6956968269668464,0.7217397875911521,0.7640766033889697,424.4033913732536,0.0014053209927382393,1
